user_id	item_id	rating	created_at
2690450	1180447	1	1444806365
2690450	1981683	1	1444894156
732722	1266442	1	1446745768
1731019	265291	1	1445613604
1731019	2397541	1	1446822664
1731019	1860035	1	1445613601
1731019	2397541	3	1446822698
523641	926150	1	1446542202
884155	205039	1	1445330555
1053084	1617810	1	1442408546
1053084	918493	1	1444745281
1053084	1492887	1	1444745330
2835411	2508585	3	1444337733
2835411	218435	1	1440071555
2835411	18943	1	1441109199
2835411	18943	1	1440574008
2835411	187850	1	1446296284
2835411	2717404	1	1444076733
2835411	2664120	1	1444234781
2835411	18943	1	1441109192
2835411	18943	1	1441109081
2835411	18943	1	1441109075
2835411	2345752	1	1440957393
2835411	18943	1	1441093153
2835411	2345752	1	1440255894
2835411	18943	1	1441093129
2835411	18943	1	1440957189
2835411	2303442	1	1446296370
2835411	18943	1	1440957055
2835411	18943	1	1440573728
2835411	18943	1	1440255898
2835411	2664120	1	1444337774
2835411	2664120	1	1444235698
2835411	2605471	1	1444077070
2835411	2512311	1	1444076683
2835411	2508585	1	1444337661
2835411	1624781	1	1440957036
2835411	1624781	1	1440956934
2835411	2345752	1	1440957260
2835411	2345752	1	1440574247
2835411	1340485	1	1444119178
2835411	1340485	1	1444078430
2835411	1326483	1	1444128326
2835411	218435	1	1440071633
2669537	2828461	1	1440524712
2669537	1787466	1	1440524278
2669537	1419528	1	1447006556
2669537	281053	1	1440524182
2669537	281053	1	1440524142
2669537	1198932	1	1440524437
2669537	2168673	1	1447006834
2669537	1980367	1	1447006771
1970717	1714882	1	1440527341
1970717	2002097	1	1445888493
1970717	2397541	1	1445065036
1970717	2559122	1	1440527691
2665434	1078851	1	1446498132
1096112	2277810	1	1441277301
2411496	1885980	1	1441823730
2411496	5565	2	1441824258
2411496	2646704	1	1441114336
2411496	2509849	1	1441824113
2411496	2331751	1	1441823974
2411496	5565	1	1441824140
2411496	1003666	3	1444891881
2411496	2012445	1	1440399002
2411496	2652790	1	1444891561
2411496	466597	1	1441823923
2411496	434392	1	1441762156
2411496	117018	1	1440658333
2411496	1003666	1	1444891789
2411496	5565	1	1441824259
2411496	1618334	1	1444891901
2411496	1440284	1	1441002187
2411496	739078	1	1441002237
2884080	1679143	1	1445061710
2884080	1679143	1	1445061714
886698	912321	1	1445428519
886698	278589	1	1445428971
886698	2288244	1	1445428526
2436535	202762	1	1444674083
2436535	2746070	1	1440343804
2436535	2533468	1	1444065060
2436535	2481929	1	1444674004
2436535	2296436	1	1444062595
2436535	2065498	1	1444674089
2436535	1811146	1	1444674159
2436535	2701950	1	1445443142
2436535	2023495	1	1444674308
2436535	1024305	1	1440343965
2436535	1006762	1	1442770866
2436535	2701950	2	1445443278
2436535	2296436	2	1444062717
2436535	202762	2	1444674122
2436535	202762	3	1444674122
2436535	2296436	3	1444062717
2436535	2701950	3	1445443279
205283	2778525	1	1446567629
2093718	388368	1	1446184577
2093718	399596	1	1445101507
2093718	388368	1	1446226460
2093718	388368	1	1446649905
2093718	2197213	1	1445101520
236859	1377919	1	1446326039
236859	1219884	1	1442067437
236859	1735099	1	1446047271
657287	41104	1	1442992104
657287	2364114	1	1442470566
657287	2012975	1	1445411843
657287	94846	1	1442236196
2125784	2302017	3	1444308097
2125784	22796	1	1444306811
2125784	483366	3	1444736443
2125784	2820572	1	1444736115
2125784	2741350	1	1444306617
2125784	2302017	1	1444308075
2125784	2295966	1	1444306666
2125784	2286501	1	1444735964
2125784	2246678	1	1446716348
2125784	671536	3	1446748622
2125784	2246678	1	1445542489
2125784	671536	3	1446748625
2125784	1177446	3	1445352481
2125784	1914124	1	1444307369
2125784	1872231	1	1444307202
2125784	1872231	3	1444307225
2125784	1365661	1	1444736176
2125784	1914124	3	1444307474
2125784	1320392	1	1445436889
2125784	2152422	3	1446735817
2125784	1223136	1	1446735010
2125784	1207570	1	1444306645
2125784	1177446	1	1445352428
2125784	279372	1	1443454252
2125784	1071982	1	1445181704
2125784	792324	1	1446748694
2125784	1027211	1	1446748610
2125784	172609	1	1445542394
2125784	779715	1	1446033253
2125784	548618	1	1444736249
2125784	437610	1	1444305012
2125784	671536	1	1446748619
2125784	356791	1	1444736099
2125784	243055	1	1444305040
2125784	479242	1	1444752949
2125784	1223136	3	1446735070
2125784	483366	2	1444736443
2125784	1068607	1	1446740458
2125784	1223136	2	1446735070
2125784	1177446	3	1445352478
2125784	1918402	2	1444308136
2125784	1066379	1	1444307954
2125784	530276	1	1444736212
2125784	1668959	2	1444307761
2125784	926519	1	1443454196
2125784	1617977	3	1444306967
2125784	2302017	2	1444308097
2125784	483366	1	1444736426
2125784	1668959	3	1444307761
2125784	1914124	3	1444307476
2125784	370067	1	1446748059
2125784	1914124	3	1444307477
2125784	1066379	1	1444307967
2125784	1914124	3	1444307481
2125784	1617977	1	1444306932
2125784	1918402	3	1444308136
2125784	19966	1	1444306760
2125784	2246678	1	1445542475
2125784	2349166	1	1444304759
2125784	2152422	1	1446735808
2125784	1826193	1	1445542520
2125784	1914124	1	1444307487
2125784	1918402	1	1444308115
2125784	1914124	1	1444307406
2125784	1701213	1	1446748681
2125784	1914124	1	1444307482
2125784	1668959	1	1444307668
2473096	1427930	1	1442257537
2473096	1125484	1	1441558691
2473096	247583	1	1443727177
2473096	247583	1	1443727104
2473096	83674	1	1441123281
2473096	2330921	1	1445774282
2473096	2285095	1	1441123263
2473096	2069639	1	1442258162
2473096	2055672	1	1441558640
2473096	2069639	1	1442258183
2473096	2666748	1	1440959996
